"time","T_in_c"
4.62,152.6451868067323
4.64,152.6506177473609
4.66,152.6560423082367
4.68,152.6614605041274
4.7,152.6668723496625
4.72,152.6722778593336
4.74,152.6776770474947
4.76,152.6830699283618
4.78,152.688456516013
4.8,152.6938368243888
4.82,152.6992108672914
4.84,152.7045786583855
4.86,152.709940211198
4.88,152.7152955391174
4.9,152.7206446553949
4.92,152.7259875731437
4.94,152.7313243053391
4.96,152.7366548648185
4.98,152.7419792642813
5,152.7472975162894
5.02,152.7526096910693
5.04,152.7579157560887
5.06,152.7632157211054
5.08,152.7685095988514
5.1,152.7737974019408
5.12,152.7790791428701
5.14,152.7843548340175
5.16,152.7896244876434
5.18,152.7948881158904
5.2,152.8001457307833
5.22,152.8053973442288
5.24,152.8106429680156
5.26,152.8158826138149
5.28,152.8211162931797
5.3,152.8263440175451
5.32,152.8315657982284
5.34,152.8367816464289
5.36,152.8419915732281
5.38,152.8471955895896
5.4,152.852393706359
5.42,152.857585934264
5.44,152.8627722839147
5.46,152.867952789737
5.48,152.8731274719045
5.5,152.8782963159063
5.52,152.8834593325033
5.54,152.8886165323561
5.56,152.893767926025
5.58,152.8989135239694
5.6,152.9040533365486
5.62,152.9091873740215
5.64,152.9143156465462
5.66,152.9194381641807
5.68,152.9245549368825
5.7,152.9296659745083
5.72,152.9347712868148
5.74,152.939870883458
5.76,152.9449647739937
5.78,152.9500529678767
5.8,152.955135474462
5.82,152.9602123030039
5.84,152.965283462656
5.86,152.9703489624718
5.88,152.9754088114042
5.9,152.9804630183057
5.92,152.9855116299092
5.94,152.990554624568
5.96,152.9955920109594
5.98,153.0006237982237
6,153.0056499954336
6.02,153.0106706115956
6.04,153.0156856556496
6.06,153.0206951364707
6.08,153.0256990628692
6.1,153.0306974435914
6.12,153.0356902873207
6.14,153.0406776026775
6.16,153.0456593982208
6.18,153.0506356824482
6.2,153.0556064637969
6.22,153.0605717506443
6.24,153.0655315513085
6.26,153.0704858740497
6.28,153.0754347270702
6.3,153.0803781185149
6.32,153.085316056473
6.34,153.0902485489776
6.36,153.0951756051438
6.38,153.100097233193
6.4,153.1050134400186
6.42,153.1099242334791
6.44,153.1148296213831
6.46,153.1197296114896
6.48,153.1246242115091
6.5,153.129513429104
6.52,153.1343972718892
6.54,153.1392757474334
6.56,153.1441488632596
6.58,153.1490166268453
6.6,153.1538790456239
6.62,153.1587361269854
6.64,153.1635878782766
6.66,153.1684343068025
6.68,153.1732754198263
6.7,153.1781112245709
6.72,153.1829417282191
6.74,153.1877669379144
6.76,153.1925868607621
6.78,153.1974015038294
6.8,153.2022108739038
6.82,153.2070149676276
6.84,153.2118138005484
6.86,153.2166073794062
6.88,153.2213957108976
6.9,153.2261788016765
6.92,153.2309566583551
6.94,153.2357292875037
6.96,153.2404966956516
6.98,153.2452588892881
7,153.2500158748621
7.02,153.2547676587835
7.04,153.2595142474231
7.06,153.2642556471137
7.08,153.26899186415
7.1,153.2737229047898
7.12,153.2784487752542
7.14,153.2831694817279
